trial,contrast_left,contrast_right,response,feedback,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
65,0.0,1.0,-1.0,1.0,0.20831598583693536,0.4167621232004279,-0.038640405218551235,0.1991410540917164,0.27603437593320557,-0.008695279277567232,0.10791742311010037,-0.146595643153132,0.015992270038647567,-0.07115705479902631
66,0.0,1.0,-1.0,1.0,0.20831443936612928,0.38823254428636617,0.005971983054497915,0.21018600021129402,0.27047353568220056,0.006900215678185911,0.11682917504941026,-0.11243252174409923,-0.006325852133222126,-0.04970120906768683
67,0.0,0.0,1.0,-1.0,0.28011384898438796,0.3976130448148527,-0.001959897321539113,0.1934744843390016,0.30280463560064036,0.020193074463738952,0.08421647173786961,-0.11169325457012158,-0.004796894375072459,-0.0938432899716314
68,0.0,0.0,0.0,1.0,0.3677181840570405,0.37114382116862493,-0.031183781885231205,0.15153201213141143,0.2886993460648878,0.03242429716856751,0.0333315325879632,-0.0611921704832574,0.020847167950119438,-0.011494293751951564
69,1.0,0.0,1.0,1.0,0.4137483509594233,0.41051948986760345,-0.009720976426147292,0.1672989770684352,0.3188442138570669,0.014952052709437254,0.017355608955488655,-0.02485742073005519,-0.003973431431840748,-0.008181542577991975
70,1.0,0.25,1.0,1.0,0.44336874014093874,0.3498856568424702,-0.013822819899198594,0.13671377142826158,0.2777714385243163,0.018293933869023185,-0.015142679567056533,-0.024273260005672856,0.030579810067513733,-0.0024932853634739753
71,0.5,0.0,1.0,1.0,0.4784835183866369,0.3695762766643166,-0.01921707940955724,0.13567502349948288,0.23819484003767705,0.020675372840450793,-0.04613855871694697,0.024717667141747175,0.06638665640239681,-0.012411475905809391
72,0.0,0.0,0.0,1.0,0.5164046693997717,0.39346994244205274,-0.006219078414052695,0.051967301010487514,0.2620771892140175,0.07203794384321216,-0.08046734556369815,0.015362317588873867,0.011717673179990805,-0.024907944585267135
73,0.25,0.5,1.0,-1.0,0.5239200436285187,0.32999178508939875,0.011820243252650912,0.12367733038218158,0.210514968852414,0.01817728021795131,-0.1404472640315389,0.11593828916834562,0.0599905050325342,0.00040918825897871185
74,0.0,0.0,0.0,1.0,0.6034828399774327,0.3257880982287423,-0.0034346894768880905,0.0556322498349815,0.15935025161945335,0.029108822513094903,-0.0887606507916569,0.07822953812884666,0.07510430799457112,0.07284190891889421
75,0.5,0.25,1.0,1.0,0.5616798345973782,0.3519704427555887,-0.03152770175737636,0.050443615598813656,0.08841233901566392,0.028941486964333636,-0.13208289659062247,0.10373919385617507,0.0692819327480223,0.017716908541162726
76,0.25,0.25,-1.0,-1.0,0.5921737035565428,0.29594023284969967,-0.04140010013628913,0.017738420494143297,0.06052101259958708,0.026721717920281187,-0.11534278042148968,0.05821607385570094,0.0247387930974741,0.07656117970513476
77,0.5,0.25,1.0,1.0,0.5903582803880122,0.28811183215640146,-0.03441311747997371,-0.012876303724610853,0.12417153847543282,0.0498675219402558,-0.1152117134052645,0.016124969302105628,0.05569866149145098,0.057572777521835906
78,0.25,1.0,-1.0,1.0,0.5697194783534176,0.2747700156352027,-0.051129552601777414,-0.017595413766667484,0.08996558058123981,0.04509543453167472,-0.10697567453651412,0.07992270991215272,-0.0006331247841312783,0.048073493605349384
79,0.25,0.0,1.0,1.0,0.584798565739632,0.23056724859837818,-0.05086828451303194,-0.048704772321572644,0.061487251443322184,0.0604867371233585,-0.08750724974677118,0.0513560300993502,0.05597284380201589,0.07626114483314657
80,0.25,0.25,1.0,-1.0,0.5090418023248128,0.22832616388123916,-0.054342080299586974,-0.08804983924415538,0.08595794570150436,0.021004402024970694,-0.10919994510050522,0.024836640420853758,-0.03717850267764723,0.07199860786684065
81,1.0,0.0,1.0,1.0,0.5359177665048298,0.2536171358270562,-0.036566804974452576,-0.06626955533732942,0.00013151011267009585,0.11271211975953434,-0.0855111291773297,0.04451795340582675,0.022641979677131024,0.06346902586240888
82,0.0,0.0,-1.0,-1.0,0.5655535408343402,0.22185019553795413,-0.040102880738542845,-0.07430188910837648,0.03897352519353629,0.025594775535228837,-0.07424627102422543,0.046973411321274826,-0.006017658900695152,-0.0043954628974939795
83,0.0,0.0,0.0,1.0,0.5229439774295007,0.20581559381129047,0.016851218666722453,-0.12728861030323116,0.0009300152002751639,0.06899785984553229,-0.10582209928338772,0.00734956751502476,-0.06877566485014946,-0.009701289322460088
84,0.25,0.0,1.0,1.0,0.5685967544647752,0.21569869613887094,-0.025916462499716925,-0.1312136867368557,-0.045030343207457905,0.04136952262724299,-0.08095387890330077,0.05282866560884135,-0.013277252711998604,0.03346563159468599
85,0.0,0.5,-1.0,1.0,0.5589395474648534,0.26063570833653127,-0.054557685038600354,-0.14856942685802335,-0.06549309668016425,0.0587481007719545,-0.043884868902214234,0.02168834349451591,-0.0945336389511708,0.011996684299942412
86,0.0,0.0,-1.0,-1.0,0.4710321177624992,0.20638574014380814,-0.05036510903643476,-0.14417050953184204,-0.10200182006188944,0.09977817425322744,-0.02664414413373797,0.0061329722774743365,-0.016946363851197098,0.09993199958195581
87,0.0,0.0,0.0,1.0,0.5071352108347719,0.18337272591800396,0.014548186057410485,-0.19157957107514687,-0.030211988630217148,0.09087419145157355,0.015094104875257143,0.04681619911525789,-0.053767232217268555,-0.03097698787223985
88,0.5,0.25,1.0,1.0,0.4585087032989542,0.16049343400355454,-0.0007169243957647616,-0.19562182285184013,-0.05972238283619122,0.10960129698044545,0.03644476349741,0.04286378312675792,-0.06328309472778432,0.029836734244777084
89,1.0,0.25,1.0,1.0,0.4775919029467364,0.14588472666251717,0.0016003481691423105,-0.18771565180435493,-0.07166973568663049,0.04601795793229993,0.028798054197967587,-0.012919025039586798,-0.04984946590659896,0.04306843798753379
90,0.25,1.0,-1.0,1.0,0.4650680639451862,0.1395935046369027,0.03615440070537926,-0.21232258557060593,-0.07615621516821111,0.13707757807211632,-0.018247248199849592,0.024745876275228434,-0.07739355504687002,-0.02741200002259529
91,0.0,0.0,1.0,-1.0,0.4636854878728435,0.11112259054965265,0.020583812200228768,-0.15452511520635975,-0.12854655482352434,0.0767291734672975,0.020763940486208273,0.02918084080321754,-0.05382689775470781,0.007584126326036007
92,0.0,0.0,-1.0,-1.0,0.42060452117938985,0.12659299150607664,0.06628124675571358,-0.21742830445439718,-0.1142223664323899,0.06246131817272835,0.036823870947836054,-0.0230691994206054,-0.073505773810725,-0.01791656004106657
93,0.0,0.0,1.0,-1.0,0.47456107699147854,0.12476446881215168,0.07439716766607275,-0.19364026736415904,-0.08605642161804335,0.06189944556355961,0.009980057359736475,0.03160488507671694,-0.0444946583414099,-0.015529900642540333
94,0.0,0.0,-1.0,-1.0,0.4305935159066822,0.12934995716962902,0.047375874365335545,-0.1586026384017593,-0.08833829196148402,0.05620320775571146,0.022967877125914405,-0.016885548801666386,-0.06229651652336498,-0.05148480113190459
95,0.0,0.0,-1.0,-1.0,0.4388190794942541,0.09660419957994937,0.02959496156460966,-0.18358592175754004,-0.11668800800128706,0.04465561350910127,0.019535279475916156,-0.025365521916592082,-0.06738186997909155,-0.036913690591466305
