PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,run_speed,pupil_area,face_motion,neuron_0,neuron_207,neuron_414,neuron_622,neuron_829,neuron_1037,neuron_1244,neuron_1451,neuron_1659,neuron_1866,neuron_2074,neuron_2281,neuron_2488,neuron_2696,neuron_2903,neuron_3111,neuron_3318,neuron_3525,neuron_3733,neuron_3940,neuron_4148,neuron_4355,neuron_4562,neuron_4770,neuron_4977,neuron_5185,neuron_5392,neuron_5600,neuron_5807,neuron_6014,neuron_6222,neuron_6429,neuron_6637,neuron_6844,neuron_7051,neuron_7259,neuron_7466,neuron_7674,neuron_7881,neuron_8088,neuron_8296,neuron_8503,neuron_8711,neuron_8918,neuron_9125,neuron_9333,neuron_9540,neuron_9748,neuron_9955,neuron_10163
-10.245857,0.80224115,0.2990432,0.26442078,-0.20747098,2.113695,1.6991093,0.9480079,-1.4630722,1.572012,-0.60556275,0.610246,0.0072145457,-1.6858155,-0.17371202,-0.23716561,-1.0467699,0.14514448,0.46765876,-0.2028361,0.9394368125457716,3821.620371825202,457.19683837890625,72.080154,0.0,99.32708,0.0,2.8803518,0.0,0.0,0.0,0.0,0.22324958,0.0,0.0,0.0,7.458334,389.41827,0.0,0.0,0.0,0.0,0.0,40.91601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.398346,100.85939,91.579796,0.0,35.05231,0.0,0.0,0.0,0.0,72.8792,0.0,27.094154,0.0,0.0,0.0,9.125991,0.0,0.0,0.0,0.0,0.0,0.0
-8.829103,2.0961413,1.8184543,2.287291,1.9518996,3.6392028,-0.22248493,1.3892069,-1.0160351,1.6488734,-0.6563455,-0.303976,1.1168431,-1.0188144,2.2716584,-0.62844265,1.9277391,-0.76155967,0.5368065,1.0490801,0.20454906621179583,4056.9744545491326,229.19717407226562,17.449892,0.0,0.0,77.37349,59.68561,0.0,297.6217,0.0,19.89899,0.0,0.0,171.2715,0.0,211.6079,0.0,0.0,0.0,6.2187004,0.0,0.0,0.0,0.0,0.0,0.0,31.525145,0.0,0.0,0.0,0.0,84.94546,35.301773,0.0,0.0,0.0,131.69666,0.0,124.784294,0.0,323.19193,0.0,21.277782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5.6190376,-1.7820467,1.3240789,4.482654,3.6606445,3.7772214,-1.3825816,-4.361932,-1.4134141,-3.0319498,-3.3082614,2.7818286,-1.0733104,0.8130165,0.3532313,-0.68503666,-1.6262378,3.521131,1.0882945,1.4613123,0.0,4176.081138051692,-179.3523712158203,0.0,113.631004,0.0,397.5998,4.423965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.215874,0.0,309.59808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.77436,0.0,0.002629998,104.969795,101.62436,0.0,0.0,114.93719,49.367664,148.48376,0.0,63.974106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.0967818,10.265133,10.109095,1.616157,-1.0628846,5.533636,-2.010748,4.790649,-4.750248,2.8063004,1.569649,-0.09359072,0.173605,-2.545228,-5.1547065,-2.0896008,-0.63574064,0.74015087,2.4572227,-1.0925977,0.0038616946136448746,4879.420287481113,216.7551727294922,0.0,0.6114511,0.0,0.0,10.857831,0.0,0.0,387.16827,0.0,67.41188,0.0,186.49681,0.0,0.0,0.0,0.0,0.0,0.0,212.91336,166.86646,0.0,0.0,5.641447,0.0,0.0,214.67067,0.0,0.0,0.0,0.0,6.7487693,0.0,0.0,0.0,0.0,132.96977,0.0,0.0,0.0,0.0,51.233185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-12.690765,1.6090176,-0.68344,-1.64833,1.2370129,2.6926281,0.57783824,0.47275838,-2.2304564,-0.5113894,-0.93541414,1.2573501,-0.85954684,-1.8180841,1.1483532,-0.67640704,-0.9358194,0.14905399,-0.8839839,-0.46473595,0.7678976927513484,4499.696593180988,683.1909790039062,0.0,0.0,98.7794,0.0,4.9159865,0.0,6.1558065,0.0,0.0,10.870678,0.0,69.32658,0.0,173.94241,0.0,0.0,0.0,0.0,38.44958,0.0,0.0,0.0,111.187004,0.0,0.0,0.0,0.0,31.532333,0.0,0.0,21.031261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5.8723693,-3.6914737,1.4811771,4.216518,2.1092305,0.85883987,-1.7537496,-0.020468414,-3.8739088,0.56256443,-2.7293477,3.1690855,1.9306338,-1.5716478,4.4634314,0.7979501,-2.2734358,-1.7892007,1.4824456,-0.39336678,0.00013690198297280784,4339.115755667166,-313.9702453613281,0.0,108.87378,118.3474,0.0,0.0,0.0,0.0,168.65895,0.0,0.0,0.0,0.0,143.26303,0.0,77.54851,0.0,8.41551,12.786459,0.0,29.547035,0.0,0.0,28.584574,0.0,0.0,66.00414,0.0,72.23416,0.0,21.962473,0.0,0.0,0.0,0.0,115.26448,0.0,0.0,0.0,0.0,16.806381,0.0,0.0,9.220366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5.9816337,-1.2358302,1.8634903,2.7743213,1.9887228,5.799832,-0.5181224,-3.5723822,-4.941932,0.9396735,-1.5290806,3.782122,3.2382865,-2.2157714,3.464003,-0.6515499,-0.28012785,0.49698302,1.3047048,-0.20917636,0.3104759716421882,4530.999104635272,373.60614013671875,0.0,0.0,146.91997,62.625546,0.0,26.793423,194.77776,177.68872,0.0,117.82363,21.92094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.4129,0.0,0.0,28.737587,134.4228,0.0,144.11311,0.0,0.0,5.388286,19.528137,0.0,30.878761,22.903648,109.2276,14.2498865,0.0,76.083466,0.0,11.316916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.3373075,-3.6441615,3.9204705,8.60832,1.7771155,-0.37502334,2.196934,-1.7755605,-2.3400366,1.6368903,-3.5594358,1.1296529,0.21792099,-5.079921,-1.4933289,0.4069686,-0.3408566,0.96853656,1.8555735,0.44015017,0.0,4844.40042303448,-332.3306884765625,39.926285,0.0,118.893776,0.0,9.059872,0.0,0.0,101.557846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.98718,0.0,0.0,58.38423,0.0,0.0,0.0,10.922302,0.0,103.476295,0.0,0.0,11.686876,0.0,16.694958,118.96116,64.04638,0.0,0.0,19.08803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.19265585,0.3263939,6.2560077,4.8693852,0.26868024,3.8551078,-0.53834444,0.3087871,-7.454389,3.0242376,-2.0272052,0.7179212,1.3680853,-2.0816977,6.557468,2.230373,4.9369383,-0.2788714,4.9199786,3.6411192,0.0007332292508391445,4732.620954571355,-297.1180725097656,110.229065,0.0,205.16522,0.0,115.852005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.62727,16.337032,81.447716,0.0,147.03886,47.063557,45.15657,132.90369,0.0,0.0,33.789024,0.0,0.0,0.0,244.43607,0.0,0.0,294.36725,28.293036,0.0,0.0,0.0,47.214478,0.0,77.44629,0.0,17.353378,25.950197,26.250172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.403109,-5.4441905,0.8447105,2.4528832,-2.4509132,-0.96483934,0.81059337,2.3472805,-2.4487596,-8.898783,-0.71488345,1.873562,0.46284077,7.199287,-2.596026,-1.0346026,-2.3449414,1.3283641,5.0962653,0.9373442,2.2541330955829406e-05,4664.548602678206,-250.98118591308594,0.0,0.0,0.0,24.787663,0.0,8.718223,0.0,0.0,102.235306,0.0,117.222466,0.0,0.0,0.0,0.0,451.74902,69.34707,0.0,0.0,239.28621,46.732243,233.65614,0.0,83.144615,0.0,0.0,0.0,127.68678,137.6157,0.0,0.0,0.0,38.417816,0.0,110.43627,43.51586,0.0,0.0,28.709976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.566338,-8.520849,1.6498071,11.022085,7.971002,4.0911536,-5.9948983,-5.7805347,5.828839,-0.5354005,-2.0878823,9.710763,-0.49777275,0.5169047,-5.7087383,-0.5601405,1.1334063,0.31631985,-5.371503,3.4886284,0.050894967906076,4441.906960701347,-250.93763732910156,0.0,0.0,126.53091,41.9562,0.0,0.0,0.0,0.0,0.0,83.7471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.81801,0.0,0.0,148.2239,120.803764,0.0,0.0,34.999485,0.0,0.0,10.23838,0.0,46.86036,0.0,0.0,97.47955,0.0,0.0,0.0,0.0,2.175067,82.70833,0.0,0.0,163.68414,0.0,0.0,0.0,0.0,0.0,0.0
41.5399,-13.320078,3.5531905,16.48347,4.0052137,12.378254,-23.146774,1.8923881,9.538125,-20.480125,25.727196,19.493528,14.615339,-7.667663,14.354746,-12.298867,-5.3836656,-4.110903,-1.1611679,-11.456465,0.0,3169.9519311445865,-363.3507080078125,0.0,397.86105,4.222334,0.0,49.444653,33.97908,1122.3662,0.0,441.75067,0.0,0.0,0.0,0.0,0.0,38.22995,0.0,0.0,0.0,39.989853,0.0,0.0,53.06266,109.22662,0.0,166.649,62.037285,0.0,0.0,185.78824,0.0,0.0,0.0,0.0,0.0,6.212418,0.0,0.0,18.659172,0.0,0.0,76.501976,11.19062,19.75577,0.0,64.69495,0.0,0.0,0.0,0.0,0.0
-12.828149,-1.9602386,-2.0376399,-2.5722103,-0.67498153,-0.8269387,2.796765,1.3752939,-1.3960711,2.281407,-3.3771389,0.4806105,-1.4016654,0.8081123,0.48691308,-0.21742992,-1.0040673,1.2475575,2.006447,-1.2871697,0.0,2972.846749128318,-322.66650390625,68.22675,0.0,49.660423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.99203,0.0,0.0,59.71921,94.79219,0.0,0.0,37.78303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.90092,0.0,0.0,0.0,0.0,24.744177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.128445,0.0,103.07806,0.0,0.0,0.0,0.0,0.0,0.0
-5.070144,-3.6144183,-0.31226838,2.5220842,2.1380236,0.15725958,-1.0836172,4.9926972,2.751441,-0.21538854,2.9108617,-4.651192,-5.0472236,-3.6679544,0.438794,-1.4586107,-0.4295204,4.4904447,0.7452631,-0.12711895,0.0,2836.3616837047216,-361.8614501953125,0.0,0.0,11.424195,0.0,0.0,28.058847,59.752262,151.98967,0.0,41.955734,20.185656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.28282,0.0,0.0,73.56438,15.669087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.095847,0.0,37.20247,0.0,0.0,0.0,0.0,37.766964,0.0,11.080743,0.0,0.0,0.0,0.0,0.0
